Country,City,Exec_Date,type,Today,Tomorrow,2-days,3-days,4-days,5-days,6-days
Andorra,Andorra la Vella,5/3/2024,avg,7.509000421,11.08399987,13.80875063,11.28350019,9.770249605,11.50700021,12.10700035
Andorra,Andorra la Vella,5/4/2024,max,16.6590004,17.50900078,14.45849991,15.05850029,15.68200016,19.73200035,20.63199997
Andorra,Andorra la Vella,5/4/2024,min,5.008999825,8.509000778,8.55850029,6.158499718,6.982000351,5.031999588,8.881999969
Andorra,Andorra la Vella,5/4/2024,avg,10.83400011,13.00900078,11.5085001,10.6085,11.33200026,12.38199997,14.75699997
Andorra,Andorra la Vella,5/5/2024,max,17.05900002,15.05900002,14.60850048,16.95849991,19.7820015,22.08200073,22.63199997
Andorra,Andorra la Vella,5/5/2024,min,9.309000015,7.209000111,5.358999729,7.908499718,8.158500671,6.381999969,8.881999969
Andorra,Andorra la Vella,5/5/2024,avg,13.18400002,11.13400006,9.983750105,12.43349981,13.97025108,14.23200035,15.75699997
Andorra,Andorra la Vella,5/6/2024,max,14.30900002,11.00900078,16.95849991,20.30850029,22.13199997,23.43200111,21.98200035
Andorra,Andorra la Vella,5/6/2024,min,7.059000015,5.40899992,6.90899992,6.608500004,8.358500481,9.281999588,9.43200016
Andorra,Andorra la Vella,5/6/2024,avg,10.68400002,8.209000349,11.93374991,13.45850015,15.24525023,16.35700035,15.70700026
Andorra,Andorra la Vella,5/7/2024,max,13.05900002,14.50900078,19.15850067,21.75850105,22.45849991,20.13199997,14.08199978
Andorra,Andorra la Vella,5/7/2024,min,5.40899992,7.508999825,5.559000015,7.508499622,8.958499908,6.781999588,9.481999397
Andorra,Andorra la Vella,5/7/2024,avg,9.233999968,11.0090003,12.35875034,14.63350034,15.70849991,13.45699978,11.78199959
Angola,Luanda,4/24/2024,max,32.18850327,32.83850098,33.2385025,34.08850098,35.33850098,34.08850098,32.18850327
Angola,Luanda,4/24/2024,min,26.4885006,26.7385006,26.68849945,26.18849945,26.53849983,26.18849945,26.2385006
Angola,Luanda,4/24/2024,avg,29.33850193,29.78850079,29.96350098,30.13850021,30.9385004,30.13850021,29.21350193
Angola,Luanda,4/25/2024,max,33.38850021,33.4885025,33.78850174,34.03850174,33.28850174,32.7385025,31.58849907
Angola,Luanda,4/25/2024,min,26.03849983,26.63850021,26.18849945,26.13850021,26.03849983,26.43849945,25.83849907
Angola,Luanda,4/25/2024,avg,29.71350002,30.06350136,29.9885006,30.08850098,29.66350079,29.58850098,28.71349907
Angola,Luanda,4/26/2024,max,33.28850174,33.63850021,33.53850174,33.93850327,32.83850098,31.38850021,32.2385025
Angola,Luanda,4/26/2024,min,26.4885006,25.93849945,25.93849945,26.2385006,26.33849907,25.7385006,25.7385006
